한기평stb,66755,에스케이위탁관리부동산,에스케이위탁관리부동산,평가기준일,한도설정일,발행한도,본_평가일,본_공시일,본_등급,수_평가일,수_공시일,수_등급,정_평가일,정_공시일,정_등급,유효기간,변환등급
한기평stb,66755,에스케이위탁관리부동산,에스케이위탁관리부동산,2022.12.31,2022.09.01,3985,2023.03.29,2023.03.29,A1, , , , , , ,2024.06.30,,
한기평stb,66755,에스케이위탁관리부동산,에스케이위탁관리부동산,2022.03.31,2022.09.01,3985,2022.06.02,2022.06.03,A1,2022.09.22,2022.09.23,A1,2023.03.03,2023.03.03,A1,2023.09.30,,
