KOSCOM_COM_CODE	TYPE	COMP_NAME_K	CRED_GRADE_TRADE_DATE	APPLY_GRADE	KIS_CRD_ESTI_DATE		NICE_CRD_ESTI_DATE	NICE_CRD_ESTI_GRADE	KR_CRD_ESTI_DATE	KR_CRD_ESTI_GRADE
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20201125  121         20200626  121         20201125  121         20201124  121         
11884       전자단기사채  애큐온캐피탈(구 케이티캐피탈)                                 20201125  121         20200626  121         20201125  121         20201124  121         
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20200629  121         20200626  121         20200629  121         20200625  121         
11884       전자단기사채  애큐온캐피탈(구 케이티캐피탈)                                 20200629  121         20200626  121         20200629  121         20200625  121         
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20200626  121         20200626  121         20191122  121         20200625  121         
11884       전자단기사채  애큐온캐피탈(구 케이티캐피탈)                                 20200626  121         20200626  121         20191122  121         20200625  121         
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20200625  121         20191122  121         20191122  121         20200625  121         
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20191217  121         20191122  121         20191122  121         20191217  121         
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20191122  121         20191122  121         20191122  121         20190612  121         
11884       전자단기사채  애큐온캐피탈(구 케이티캐피탈)                                 20191122  121         20191122  121         20191122  121         00000000  0           
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20190618  121         20190618  121         20190613  121         20190612  121         
11884       전자단기사채  애큐온캐피탈(구 케이티캐피탈)                                 20190618  121         20190618  121         20190613  121         00000000  0           
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20190613  121         20181221  121         20190613  121         20190612  121         
11884       전자단기사채  애큐온캐피탈(구 케이티캐피탈)                                 20190613  121         20181221  121         20190613  121         00000000  0           
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20190612  121         20181221  121         20181126  121         20190612  121         
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20181221  121         20181221  121         20181126  121         20181123  121         
11884       전자단기사채  애큐온캐피탈(구 케이티캐피탈)                                 20181221  121         20181221  121         20181126  121         00000000  0           
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20181126  121         20180627  121         20181126  121         20181123  121         
11884       전자단기사채  애큐온캐피탈(구 케이티캐피탈)                                 20181126  121         20180627  121         20181126  121         00000000  0           
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20180627  121         20180627  121         20180626  121         20180523  121         
11884       전자단기사채  애큐온캐피탈(구 케이티캐피탈)                                 20180627  121         20180627  121         20180626  121         00000000  0           
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20180626  121         20171226  121         20180626  121         20180523  121         
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20180523  121         20171226  121         20171124  121         20180523  121         
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20171226  121         20171226  121         20171124  121         20171124  121         
11884       전자단기사채  애큐온캐피탈(구 케이티캐피탈)                                 20171226  121         20171226  121         20171124  121         00000000  0           
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20171124  121         20170613  121         20171124  121         20171124  121         
11884       전자단기사채  애큐온캐피탈(구 케이티캐피탈)                                 20171124  121         00000000  0           20171124  121         00000000  0           
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20170628  121         20170613  121         20170628  121         20170524  121         
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20170613  121         20170613  121         20161213  121         20170524  121         
11884       CP            애큐온캐피탈(구 케이티캐피탈)                                 20170524  121         20161229  121         20161213  121         20170524  121         

11919       CP            에이제이네트웍스(구 아주렌탈)                                 20221212  130         20221207  130         00000000  0           20221212  130         
11919       전자단기사채  에이제이네트웍스(구 아주렌탈)                                 20221212  130         20221207  130         00000000  0           20221212  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20221207  130         20221207  130         00000000  0           20220628  130         
11919       전자단기사채  에이제이네트웍스(구 아주렌탈)                                 20221207  130         20221207  130         00000000  0           20220628  130         
11919       전자단기사채  에이제이네트웍스(구 아주렌탈)                                 20220720  130         20220720  130         00000000  0           20220628  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20220628  130         20220531  130         00000000  0           20220628  130         
11919       전자단기사채  에이제이네트웍스(구 아주렌탈)                                 20220628  130         20220531  130         00000000  0           20220628  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20220531  130         20220531  130         00000000  0           20211214  130         
11919       전자단기사채  에이제이네트웍스(구 아주렌탈)                                 20220531  130         20220531  130         00000000  0           20220126  130         
11919       전자단기사채  에이제이네트웍스(구 아주렌탈)                                 20220126  130         20211221  130         00000000  0           20220126  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20211221  130         20211221  130         00000000  0           20211214  130         
11919       전자단기사채  에이제이네트웍스(구 아주렌탈)                                 20211221  130         20211221  130         00000000  0           00000000  0           
