KOSCOM_COM_CODE	COMP_NAME_K
57519	에스에스지닷컴(구 이마트몰)
57550	서울옥션블루
57634	신세계프라퍼티
57641	더페이스샵
57777	제일사료
57935	한화디펜스
58216	세아상역
58217	글로벌세아
58218	금강고속
58236	(주)현대엘앤씨
58419	갑진
58524	제이티비씨플러스
58676	현대중공업
58716	제이티비씨스포츠
58805	케이티비네트워크
58842	롯데위탁관리부동산투자회사
58843	벽산페인트
58878	원신더블유몰
59021	에코비트(구 티에스케이코퍼레이션)
59033	태우
59081	호반산업
59089	세왕섬유
59176	희성피엠텍
59202	한화큐셀앤드첨단소재(분할신설)
59371	동서기공
59578	이브자리
59781	엠에스에이
59808	아이엠엠인베스트먼트
59956	신송식품
60007	에스와이에스홀딩스
60117	에이제이셀카
60148	유영제약
60260	에이제이토탈
60359	케이씨씨글라스
60718	벡스인터코퍼레이션
60719	비아이티에코루브
60866	에스엘엘중앙(구 제이티비씨스튜디오)
61433	한미사이언스
61461	한국공항공사
61587	금강이엠씨
61588	정림건축
61589	링크제니시스
61612	신성씨에스
61622	에스케이와이에프
61623	신유에프에이
61624	유니닥스
61625	아이티뱅크
61676	우리자산신탁
61692	코비코
61756	한일네트웍스
61924	웰컴캐피탈(구 웰릭스캐피탈)
62088	선일일렉콤
62104	약진통상
62382	넷마블
62571	매크로통상
62572	대운푸드시스템
62665	메이븐에프씨
62741	한영과학
62983	흥화
63024	세방리튬배터리
63163	갈라인터내셔널
63270	디엘이앤씨
63421	제주대동
63525	오리온제주용암수
63598	동경
63612	휴세코
63620	컴퓨존
63621	인천종합에너지
63634	혜명심의료재단
63712	상운의료재단동탄제일병원
63732	청도유업
63769	나전
63791	부방유통
63794	카카오엔터테인먼트
63803	디피엘
63864	대전신세계
63978	경기고속
63979	대원고속
63980	대한해운엘엔지
64021	부산극장
64028	원창포장공업
64032	청라에스엔씨
64041	에스케이피아이씨글로벌
64061	인터비즈시스템
64062	덕양케미칼
64163	기계설비건설공제조합
64204	우신물산
64254	삼원가든
64295	극동씨엠씨
64407	평택로지스틱스
64463	숭인의료재단
64676	보령홀딩스
64707	넷마블에프앤씨
65139	에프앤에프
65214	광해광업공단
65329	대동모빌리티(구 한국체인공업)
65452	더블유게임즈
65589	씨제이라이브시티
65789	소노인터내셔널
65883	유앤아이대부
66060	엘지마그나이파워트레인
66142	대상웰라이프(구 대상라이프사이언스)
66169	에스케이스퀘어
66598	유엠씨홀딩스
66755	에스케이위탁관리부동산(SK리츠)
67084	세아베스틸
67150	푸디스트
67214	세라젬
67309	제이아이코리아
67631	우리금융에프앤아이
67854	에이치엘엘중앙
68134	포스코플로우
68844	엔에스지주
69406	코오롱모빌리티그룹
69615	현대지에프홀딩스(중복삭제)
69630	현대그린푸드(신설법인)
